scenario,utilization.gpu,utilization.memory,memory.used
baseline,0 %, 0 %, 0 MiB
baseline,[Unknown Error], [Unknown Error], 0 MiB
baseline,[Unknown Error], [Unknown Error], 0 MiB
baseline,0 %, 0 %, 0 MiB
baseline,[Unknown Error], [Unknown Error], 0 MiB
baseline,[Unknown Error], [Unknown Error], 0 MiB
baseline,[Unknown Error], [Unknown Error], 0 MiB
baseline,[Unknown Error], [Unknown Error], 0 MiB
baseline,[Unknown Error], [Unknown Error], 0 MiB
baseline,[Unknown Error], [Unknown Error], 0 MiB
baseline,0 %, 0 %, 0 MiB
baseline,[Unknown Error], [Unknown Error], 0 MiB
baseline,[Unknown Error], [Unknown Error], 0 MiB
baseline,0 %, 0 %, 0 MiB
baseline,[Unknown Error], [Unknown Error], 0 MiB
baseline,[Unknown Error], [Unknown Error], 0 MiB
baseline,[Unknown Error], [Unknown Error], 0 MiB
baseline,[Unknown Error], [Unknown Error], 0 MiB
baseline,[Unknown Error], [Unknown Error], 0 MiB
baseline,[Unknown Error], [Unknown Error], 0 MiB
baseline,[Unknown Error], [Unknown Error], 0 MiB
baseline,[Unknown Error], [Unknown Error], 0 MiB
baseline,[Unknown Error], [Unknown Error], 0 MiB
baseline,[Unknown Error], [Unknown Error], 0 MiB
baseline,0 %, 0 %, 0 MiB
baseline,0 %, 0 %, 141 MiB
baseline,0 %, 0 %, 143 MiB
baseline,0 %, 0 %, 207 MiB
baseline,1 %, 0 %, 271 MiB
baseline,1 %, 0 %, 399 MiB
baseline,3 %, 0 %, 399 MiB
baseline,0 %, 0 %, 399 MiB
baseline,0 %, 0 %, 399 MiB
baseline,0 %, 0 %, 399 MiB
baseline,0 %, 0 %, 399 MiB
baseline,0 %, 0 %, 399 MiB
baseline,0 %, 0 %, 399 MiB
baseline,0 %, 0 %, 399 MiB
baseline,0 %, 0 %, 399 MiB
baseline,0 %, 0 %, 399 MiB
baseline,0 %, 0 %, 409 MiB
baseline,59 %, 21 %, 513 MiB
baseline,50 %, 17 %, 675 MiB
baseline,49 %, 24 %, 1061 MiB
baseline,52 %, 18 %, 1221 MiB
baseline,50 %, 15 %, 1221 MiB
baseline,64 %, 30 %, 1221 MiB
baseline,38 %, 10 %, 1223 MiB
baseline,55 %, 16 %, 1223 MiB
baseline,73 %, 24 %, 1223 MiB
